date_time,scribe,boat_driver,observerS,observerL,observerR,area,surv_num,trail,effort,line,el_direction,speed_kts,waypoint,beaufort,wave_height,cc,vis_km,weather,glare,glareL,glareR,boat_bearing,bino_bearing,bino_reticle,species,group_min,group_max,group_best,bhv,tr_direction,vessels_500m,vessels_2km,comments__________________________________
2026-09-15 12:57:28,Grace,Grace,NA,Hannah,Barbara,LEWIS PASSAGE,4,20260915_LP_04,ON,A,NE,7.5,530,1,0,7,30,S,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tanker this am
2026-09-15 13:00:37,Grace,Grace,NA,Hannah,Barbara,LEWIS PASSAGE,4,20260915_LP_04,ON,A,NE,7.5,529,1,0,7,30,S,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Starting waypoint was 529
2026-09-15 13:03:46,Grace,Grace,NA,Hannah,Barbara,LEWIS PASSAGE,4,20260915_LP_04,ON,A,NE,7.5,530,1,0,7,30,S,NONE,NA,NA,75,154,1.2,HW,1,1,1,ACTIVE,NA,0,1,Starting waypoint was 529
2026-09-15 13:05:32,Grace,Grace,NA,Hannah,Barbara,LEWIS PASSAGE,4,20260915_LP_04,ON,A,NE,7.5,531,1,0,7,30,S,NONE,NA,NA,57,1,0.1,HW,1,1,1,BR,NA,0,NA,Tr dr = none
2026-09-15 13:14:59,Grace,Grace,NA,Hannah,Barbara,LEWIS PASSAGE,4,20260915_LP_04,OFF,A,NE,7.5,532,1,0,7,30,S,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2026-09-15 13:19:01,Grace,Grace,NA,Hannah,Barbara,LEWIS PASSAGE,4,20260915_LP_04,ON,B,NW,8.2,533,1,0,0,30,S,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2026-09-15 13:20:08,Grace,Grace,NA,Hannah,Barbara,LEWIS PASSAGE,4,20260915_LP_04,ON,B,NW,8.2,534,1,0,0,30,S,NONE,NA,NA,322,320,0.01,SAIL,1,1,1,SAIL,S,NA,NA,
2026-09-15 13:23:45,Grace,Grace,NA,Hannah,Barbara,LEWIS PASSAGE,4,20260915_LP_04,ON,B,NW,8.2,535,1,0,0,30,S,NONE,NA,NA,315,293,0.05,HW,1,1,1,ACTIVE,E,0,0,
2026-09-15 13:25:24,Grace,Grace,NA,Hannah,Barbara,LEWIS PASSAGE,4,20260915_LP_04,ON,B,NW,8.2,535,1,0,0,30,S,NONE,NA,NA,321,324,0.3,HW,1,1,1,ACTIVE,W,1,0,El
2026-09-15 13:26:16,Grace,Grace,NA,Hannah,Barbara,LEWIS PASSAGE,4,20260915_LP_04,ON,B,NW,8.2,536,1,0,0,30,S,NONE,NA,NA,313,338,0.01,CG,1,1,1,FTR,S,NA,NA,
2026-09-15 13:28:02,Grace,Grace,NA,Hannah,Barbara,LEWIS PASSAGE,4,20260915_LP_04,ON,B,NW,8.2,537,1,0,0,30,S,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Last app = TB not CG
2026-09-15 13:30:43,Grace,Grace,NA,Hannah,Barbara,LEWIS PASSAGE,4,20260915_LP_04,ON,B,NW,8.2,537,1,0,0,30,S,NONE,NA,NA,0,323,0.25,HW,2,2,2,ACTIVE,S,0,1,El
2026-09-15 13:34:03,Grace,Grace,NA,Hannah,Barbara,LEWIS PASSAGE,4,20260915_LP_04,ON,B,NW,7,538,1,0,0,30,S,NONE,NA,NA,0,223,0.01,LR,1,1,1,I,NA,NA,NA,
2026-09-15 13:34:28,Grace,Grace,NA,Hannah,Barbara,LEWIS PASSAGE,4,20260915_LP_04,ON,B,NW,7,538,1,0,0,30,S,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Last boat bearing = 325
2026-09-15 13:36:14,Grace,Grace,NA,Hannah,Barbara,LEWIS PASSAGE,4,20260915_LP_04,ON,B,NW,7,539,1,0,0,30,S,NONE,NA,NA,307,25,0.75,HW,1,1,1,ACTIVE,S,0,1,El
2026-09-15 13:37:59,Grace,Grace,NA,Hannah,Barbara,LEWIS PASSAGE,4,20260915_LP_04,ON,B,NW,7,540,1,0,0,30,S,NONE,NA,NA,311,63,0.05,HW,2,2,2,ACTIVE,S,0,1,El
2026-09-15 13:51:38,Grace,Grace,NA,Hannah,Barbara,LEWIS PASSAGE,4,20260915_LP_04,OFF,B,NW,7.5,541,1,0,0,30,S,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
